...Comp Geom...
33 Num Comps
63 Total Num Meshes
51856 Total Num Tris

Theo_Area   Wet_Area   Theo_Vol    Wet_Vol  Name
  384.252    297.878    137.592   -179.557  Main Wing      
  384.252    297.878    137.592   -179.557  Main Wing      
  154.096     53.411     37.156    -21.680  VStab          
  154.096     53.232     37.156    -21.607  VStab          
  144.220    120.168     34.476    -48.357  HStab          
  144.220    120.168     34.476    -48.357  HStab          
  166.176     80.185     19.474    -15.818  LERX           
   22.620     17.042      4.311     -5.467  Wing hardpoints
   22.620     17.042      4.311     -5.467  Wing hardpoints
   20.558      5.232      2.825     -1.210  A2A - AIM 120C (fuse mounted)
   20.558      5.232      2.825     -1.210  A2A - AIM 120C (fuse mounted)
   20.558      9.081      2.825     -2.101  AIM 120C (inboard)
   20.558      9.081      2.825     -2.101  AIM 120C (inboard)
   20.558     20.273      2.825     -4.690  AIM 120C (outboard)
   20.558     20.273      2.825     -4.690  AIM 120C (outboard)
   11.099      5.035      0.966     -0.738  AIM 9X (outboard)
   11.099      5.305      0.966     -0.777  AIM 9X (outboard)
   29.908     18.647      7.681     -8.062  STRK - MK83 JDAM (fuse mounted)
   29.908     18.647      7.681     -8.062  STRK - MK83 JDAM (fuse mounted)
   29.908     25.116      7.681    -10.859  STRK - MK83 JDAM (wing mounted)
   29.908     25.116      7.681    -10.859  STRK - MK83 JDAM (wing mounted)
   11.099      4.767      0.966     -0.698  AIM 9X (outboard)
   11.099      5.320      0.966     -0.779  AIM 9X (outboard)
  106.017     37.380     61.308    -36.389  Drop tank      
  106.017  40971606234390.727     61.308  -39884812655014.141  Drop tank      
  649.020    385.385    719.384   -719.089  Fuselage       
  212.796     57.084    165.578    -74.772  F135-PW-100 ENGINE
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    1.043      0.000      0.012      0.000  Main Fan       
    9.816      0.000      1.437      0.000  Fan Diffuser   
   19.500      0.000      5.450      0.000  FADEC          
  116.549     25.415    -17.210    -17.210  Dual Air Intakes
  116.549     25.415    -17.210    -17.210  Dual Air Intakes
  112.774     43.323     73.272    -47.384  Canopy         
   19.866      0.000      2.744      0.000  Pilot          
    4.568      0.000      0.420      0.000  Seat           
    7.437      0.000      0.719      0.000  Seat           
   44.771      0.000     19.942      0.000  AN-APG-85 RADAR
   17.966      0.000      5.380      0.000  GAU-22-A CANNON
    7.284      3.195      0.397     -0.293  Cannon barrels 
   36.551      0.000     15.221      0.000  AN-ASQ-242 CNI RADIO-IFF
   26.189      0.000      9.089      0.000  Primary active control module
   26.189      0.000      9.089      0.000  Secondary active control module
   77.807      0.000     26.710      0.000  Fuselage fuel tank
   13.502      0.000      1.566      0.000  Inflight refuel probe
  142.836      0.000     24.857      0.000  Wing fuel tanks
  142.836      0.000     24.857      0.000  Wing fuel tanks
   21.528      0.000      6.687      0.000  Primary hydraulic pump
   21.528      0.641      6.687     -0.335  Secondary hydraulic pump
-------------------------------------------------
 3939.469  40971606236202.688   1705.951  -39884812656509.531  Totals         

Tag_Theo_Area   Tag_Wet_Area    Tag_Name
      287.763        201.646    Main Wing_S_Surf0
      287.763        201.646    Main Wing_S_Surf1
      132.690         42.800    VStab_S_Surf0  
      132.690         42.456    VStab_S_Surf1  
      120.626         96.575    HStab_S_Surf0  
      120.626         96.575    HStab_S_Surf1  
       83.088         40.093    LERX_S_Surf0   
       83.088         40.093    LERX_S_Surf1   
       22.620         17.042    Wing hardpoints_S_Surf0
       22.620         17.042    Wing hardpoints_S_Surf1
       20.558          5.232    A2A - AIM 120C (fuse mounted)_S_Surf0
       20.558          5.232    A2A - AIM 120C (fuse mounted)_S_Surf1
       20.558          9.081    AIM 120C (inboard)_S_Surf0
       20.558          9.081    AIM 120C (inboard)_S_Surf1
       20.558         20.273    AIM 120C (outboard)_S_Surf0
       20.558         20.273    AIM 120C (outboard)_S_Surf1
       11.099          5.035    AIM 9X (outboard)_S_Surf0
       11.099          5.305    AIM 9X (outboard)_S_Surf1
       29.908         18.647    STRK - MK83 JDAM (fuse mounted)_S_Surf0
       29.908         18.647    STRK - MK83 JDAM (fuse mounted)_S_Surf1
       29.908         25.116    STRK - MK83 JDAM (wing mounted)_S_Surf0
       29.908         25.116    STRK - MK83 JDAM (wing mounted)_S_Surf1
       11.099          4.767    AIM 9X (outboard)_S_Surf0
       11.099          5.320    AIM 9X (outboard)_S_Surf1
      106.017         37.380    Drop tank_S_Surf0
      106.017      40971606234390.727    Drop tank_S_Surf1
      649.020        385.385    Fuselage_S_Surf0
      212.796         57.084    F135-PW-100 ENGINE_S_Surf0
        1.043          0.000    Main Fan_S_Surf0
        1.043          0.000    Main Fan_S_Surf1
        1.043          0.000    Main Fan_S_Surf2
        1.043          0.000    Main Fan_S_Surf3
        1.043          0.000    Main Fan_S_Surf4
        1.043          0.000    Main Fan_S_Surf5
        1.043          0.000    Main Fan_S_Surf6
        1.043          0.000    Main Fan_S_Surf7
        1.043          0.000    Main Fan_S_Surf8
        1.043          0.000    Main Fan_S_Surf9
        1.043          0.000    Main Fan_S_Surf10
        1.043          0.000    Main Fan_S_Surf11
        1.043          0.000    Main Fan_S_Surf12
        1.043          0.000    Main Fan_S_Surf13
        1.043          0.000    Main Fan_S_Surf14
        9.816          0.000    Fan Diffuser_S_Surf0
       19.500          0.000    FADEC_S_Surf0  
      116.549         25.415    Dual Air Intakes_S_Surf0
      116.549         25.415    Dual Air Intakes_S_Surf1
      112.774         43.323    Canopy_S_Surf0 
       19.866          0.000    Pilot_S_Surf0  
        4.568          0.000    Seat_S_Surf0   
        7.437          0.000    Seat_S_Surf1   
       44.771          0.000    AN-APG-85 RADAR_S_Surf0
       17.966          0.000    GAU-22-A CANNON_S_Surf0
        7.284          3.195    Cannon barrels_S_Surf0
       36.551          0.000    AN-ASQ-242 CNI RADIO-IFF_S_Surf0
       26.189          0.000    Primary active control module_S_Surf0
       26.189          0.000    Secondary active control module_S_Surf0
       77.807          0.000    Fuselage fuel tank_S_Surf0
       13.502          0.000    Inflight refuel probe_S_Surf0
      142.836          0.000    Wing fuel tanks_S_Surf0
      142.836          0.000    Wing fuel tanks_S_Surf1
       21.528          0.000    Primary hydraulic pump_S_Surf0
       21.528          0.641    Secondary hydraulic pump_S_Surf0
       23.328         23.089    Main Wing_S_Surf0,Inboard flaps
       24.339         24.339    Main Wing_S_Surf0,Flaperons
       23.788         23.788    Main Wing_S_Surf0,Ailerons
       25.034         25.017    Main Wing_S_Surf0,LE Slats
       23.328         23.089    Main Wing_S_Surf1,Inboard flaps
       24.339         24.339    Main Wing_S_Surf1,Flaperons
       23.788         23.788    Main Wing_S_Surf1,Ailerons
       25.034         25.017    Main Wing_S_Surf1,LE Slats
